ID,Nombre,Estado,Creado,Actualizado,Estado de Compra,Factura,Fecha de factura,Fecha de pago,Moneda,Proveedor,Referencia,Tipo de cambio,Total del documento,Total indirectos,Total moneda ext
9477112011,494,active,2025-06-29T17:46:11Z,2025-07-03T02:24:53Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256952401/DRI0209273M1FFA029826.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256952402/DRI0209273M1FFA029826.pdf",2025-06-26,,,DRILL COMPANY S.A. DE C.V.,FA29826,,,,
9153659248,381,active,2025-05-15T01:57:52Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196300246/DRI0209273M1FFA029260.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196300265/DRI0209273M1FFA029260.pdf",2025-05-05,,,DRILL COMPANY S.A. DE C.V.,FA29260,,,,
9153659417,382,active,2025-05-15T01:57:57Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196301885/DRI0209273M1FFA029261.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196301884/DRI0209273M1FFA029261.pdf",2025-05-05,,,DRILL COMPANY S.A. DE C.V.,FA29261,,,,
9153659568,383,active,2025-05-15T01:58:01Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196302595/DRI0209273M1FFA029263.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196302594/DRI0209273M1FFA029263.pdf",2025-05-05,,,DRILL COMPANY S.A. DE C.V.,FA29263,,,,
9153659735,384,active,2025-05-15T01:58:06Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196303598/DRI0209273M1FFA029265.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2196303602/DRI0209273M1FFA029265.xml",2025-05-05,,,DRILL COMPANY S.A. DE C.V.,FA29265,,,,
9153659875,385,active,2025-05-15T01:58:09Z,2025-07-03T02:24:47Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196304509/DRI0209273M1FFA029285.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196304512/DRI0209273M1FFA029285.pdf",2025-05-06,,,DRILL COMPANY S.A. DE C.V.,FA29285,,,,
9153659990,386,active,2025-05-15T01:58:14Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196305672/DRI0209273M1FFA029296.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196305673/DRI0209273M1FFA029296.pdf",2025-05-06,,,DRILL COMPANY S.A. DE C.V.,FA29296,,,,
9153660243,387,active,2025-05-15T01:58:22Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196308447/DRI0209273M1FFA029295.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2196308452/DRI0209273M1FFA029295.xml",2025-05-06,,,DRILL COMPANY S.A. DE C.V.,FA29295,,,,
9153660398,388,active,2025-05-15T01:58:28Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196309203/DRI0209273M1FFA029294.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2196309207/DRI0209273M1FFA029294.xml",2025-05-06,,,DRILL COMPANY S.A. DE C.V.,FA29294,,,,
9153660608,389,active,2025-05-15T01:58:36Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2196309803/DRI0209273M1FFA029292.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2196309802/DRI0209273M1FFA029292.pdf",2025-05-06,,,DRILL COMPANY S.A. DE C.V.,FA29292,,,,
